Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
DLC,SHA-256,PoW,9106714.0,10638298.0,-0.1485958906589035,-1.2494608124731728,0.19614746352101664,3,DollarCoin
SCN,Scrypt,PoW/PoW,665200057.0,3100000000.0,-0.28724383954835997,0.5300683017699322,-0.4986321608214605,0,Swiscoin
SH,Scrypt,PoW,11119200.0,30000000.0,-0.18095207067978542,-1.0197858610959865,-0.02753116461824552,3,Shilling
BUZZ,SHA-256D,PoW/PoS,19577787259.0,20000000000.0,0.04295681082433474,1.8370151077772003,-0.7510158656504788,0,BuzzCoin
XPO,PoS,PoS,74033806.7949683,74000000.0,-0.33655313851791824,1.33280700974467,0.03882360881878978,0,Opair
PSB,Scrypt,PoW/PoS,33522957.0,0.0,-0.3433994801028403,1.0465717582309733,-0.6335841580511317,0,PesoBit
HALLO,X11,PoW/PoS,264678458.288619,1500000000.0,-0.3692979769370849,1.1015246745198508,-0.5027784838455029,0,Halloween Coin
XZC,Lyra2Z,PoW,7568281.24956067,21400000.0,-0.15810773497144867,-2.1368996179431234,0.3871718065214156,3,ZCoin
CFC,PoS,PoS,148716816.0,39999898.0,-0.33588006822289335,1.3328292255472125,0.03879611848894189,0,CoffeeCoin
ROYAL,X13,PoS,2500124.0,2500124.0,-0.21146653748637476,1.3504573751371634,-0.2930056931319734,0,RoyalCoin
GNJ,X14,PoW/PoS,100000000.0,100000000.0,-0.40478903859303134,1.8867347787064346,-0.7559441075611795,0,GanjaCoin V2
TEAM,PoS,PoS,17818682.1654,301000000.0,-0.3356293159482331,1.3326478393618264,0.03884019542959267,0,TeamUP
LANA,SHA-256D,PoW/PoS,1082162635.53683,7506000000.0,-0.27227171329005917,1.8463051672356126,-0.7437813963862485,0,LanaCoin
ELE,Ethash,PoW,26205539.0,26205539.0,-0.15643004410057132,-1.988455746940232,0.4302431576987877,3,Elementrem
ZCL,Equihash,PoW,5613550.0,21000000.0,-0.13601203706352358,-2.18232529451521,0.2331334622991056,3,ZClassic
ARK,DPoS,DPoS,108202084.0,125000000.0,3.7067965461893873,2.535223619559585,-0.15500650045105616,0,ARK
INSANE,X11,PoW/PoS,18342813.0,30000000.0,-0.38275489556479964,1.1025703917369538,-0.5026555563167675,0,InsaneCoin
KLC,Scrypt,PoW,196297971.0,10000000000.0,-0.1078746545199148,-1.0268418169859042,-0.027804290584319366,3,KiloCoin
ATX,X11,PoW,824000000.0,500000000.0,-0.20704226308792043,-0.9641187274522218,0.10307597861248904,3,ArtexCoin
EMB,X13,PoW/PoS,92192822723.0,850000000.0,0.8708799588348173,1.6318577738227122,-0.6967023713594223,0,EmberCoin
XEN,X11,PoW/PoS,3853326.77707314,3853326.77707314,-0.38311803111684334,1.1025892396011738,-0.5026495553431091,0,XenixCoin
FRE,PoS,PoS,50000000.0,50000000.0,-0.3370179050490837,1.332824573371777,0.03883316781172021,0,FreeCoin
